id,customfields_candidateexp,applications_jobdetails_customfields_joblevel,applications_jobs_name,customfields_gender,customfields_candidateage,customfields_dateofbirth,customfields_language,applications_location_address,applications_jobdetails_hiringteam_hiringmanagers_name,applications_jobdetails_departments_name,customfields_hiredate,customfields_startdate,applications_offerdetails_resolvedat,applications_offerdetails_createdat,applications_appliedat,applications_jobdetails_openings_openedat,applications_jobdetails_openings_closedat,customfields_degree,customfields_discipline,applications_source_publicname,applications_rejectedat,applications_status,applications_jobdetails_status,applications_offerdetails_status,recruiter_name,applications_rejectionreason_name,applications_currentstage_name,applications_prospect,company,applications_jobdetails_customfields_salaryrange_maxvalue,applications_jobdetails_customfields_salaryrange_minvalue
3302558550550642688,1,L1,Junior Backend Developer,Male,25,1999-10-18,USA,USA,Damian Wayne,Platform,2024-02-06,2024-02-17,2024-01-28,2024-01-22,2024-01-03,2023-12-07,,Mtech,EE,LinkedIn,,hired,Open,hired,Damian Wayne,,hired,True,Miller-Bennett,160000,90000
3303936892419965952,4,L3,UX Designer,Female,25,1999-07-31,UK,UK,Jason Todd,UI/UX,2024-02-15,2024-02-28,2024-02-08,2024-02-04,2024-01-22,2023-12-19,,BE,CS,LinkedIn,,hired,Open,hired,Jason Todd,,hired,True,Hoffman Inc,300000,200000
3306911318191112704,7,L1,Junior Backend Developer,Female,31,1993-11-30,USA,USA,Damian Wayne,Platform,2024-08-17,2024-08-22,2024-08-14,2024-08-07,2024-07-27,2023-12-07,,BE,AI,LinkedIn,,hired,Open,hired,Damian Wayne,,hired,True,Shaw Inc,300000,230000
3307393473291748352,10,L2,Frontend Developer,Female,32,1992-11-09,USA,USA,Tim Drake,UI/UX,2024-02-15,2024-02-24,2024-02-12,2024-02-05,2024-01-24,2023-12-02,2023-12-26,Mtech,IS,Referral,,hired,Closed,hired,Tim Drake,,hired,True,Yang Ltd,400000,320000
3307656079420163072,9,L7,General Manager,Female,33,1991-06-11,USA,USA,Bruce Wayne,Management,2024-02-13,2024-02-26,2024-02-06,2024-02-02,2024-01-14,2024-01-06,2024-02-07,BE,other,HRMarket,,hired,Closed,hired,Bruce Wayne,,hired,True,Shaw Inc,540000,470000
3308039988083425792,8,L1,IT Support,Male,32,1992-09-28,USA,USA,Jon Stewart,IT,2024-02-28,2024-03-11,2024-02-25,2024-02-20,2024-02-03,2023-12-20,2024-01-10,Btech,CS,HRMarket,,hired,Closed,hired,Jon Stewart,,hired,True,Camacho and Sons,350000,270000
3309073630029152768,10,L5,Regional Sales Manager,Male,32,1992-12-07,UK,UK,Arnold Flass,Sales,2024-02-22,2024-02-26,2024-02-13,2024-02-09,2024-01-31,2023-12-17,2024-01-11,BE,CS,Referral,,hired,Closed,hired,Arnold Flass,,hired,True,Hill-Whitney,510000,410000
3309078295034724864,10,L3,Marketing Analyst,Female,31,1993-02-04,USA,USA,Harleen Quinnzel,Marketing,2024-02-22,2024-02-23,2024-02-19,2024-02-13,2024-01-30,2023-12-28,,HighSchool,AI,Others,,hired,Open,hired,Harleen Quinnzel,,hired,True,Jones-Wilson,410000,340000
3309088835136128000,4,L1,Junior UX Designer,Male,28,1996-12-25,Canada,Canada,Richard Grayson,UI/UX,2024-02-22,2024-02-25,2024-02-18,2024-02-13,2024-02-04,2023-12-11,,Mtech,CS,Monster,,hired,Open,hired,Richard Grayson,,hired,True,Mercer Group,240000,140000
3309096711082738176,1,L1,ML Intern,Female,24,2000-09-06,USA,USA,Stephanie Brown,Machine Learning,2024-02-22,2024-02-25,2024-02-12,2024-02-08,2024-01-21,2023-12-16,2024-01-05,Mtech,EE,HRMarket,,hired,Closed,hired,Stephanie Brown,,hired,True,"Ware, Davis and Fernandez",170000,80000
3309103352880562688,3,L3,Network Engineer,Male,26,1998-09-08,USA,USA,Hal Jordan,IT,2024-02-22,2024-02-26,2024-02-13,2024-02-07,2024-01-22,2023-12-30,2024-01-14,PhD,AI,HRMarket,,hired,Closed,hired,Hal Jordan,,hired,True,Jones-Wilson,290000,190000
3311025707521410048,7,L1,Junior Backend Developer,Female,28,1996-03-23,USA,USA,Duke Thomas,Platform,2024-01-19,2024-01-27,2024-01-11,2024-01-05,2023-12-26,2023-12-07,,BE,EE,HRMarket,,hired,Open,hired,Duke Thomas,,hired,True,Huerta-Sullivan,280000,250000
3316844785762829312,8,L2,Support Specialist,Male,31,1993-03-17,USA,USA,Jason Blood,Customer Service,2024-03-01,2024-03-08,2024-02-28,2024-02-24,2024-02-10,2023-12-21,2024-01-15,BE,AI,LinkedIn,,hired,Closed,hired,Jason Blood,,hired,True,Shaw Inc,350000,310000
3320639328283001344,5,L3,Financial Analyst,Female,27,1997-07-08,UK,UK,Oswald Cobblepot,Finance & Admin,2024-01-12,2024-01-19,2024-01-02,2023-12-29,2023-12-13,2023-12-12,2024-01-03,HighSchool,CS,Others,,hired,Closed,hired,Oswald Cobblepot,,hired,True,Williams LLC,320000,260000
3320639889178886656,1,L1,Junior Backend Developer,Female,22,2002-04-14,Canada,Canada,Roy Harper,Platform,2024-01-12,2024-01-13,2024-01-08,2024-01-01,2023-12-17,2023-12-07,,BE,CS,Others,,hired,Open,hired,Roy Harper,,hired,True,Cameron PLC,160000,100000
3322647905281508352,3,L2,Platform Engineer,Female,26,1998-05-17,USA,USA,Damian Wayne,Platform,2024-04-02,2024-04-11,2024-03-26,2024-03-21,2024-03-08,2023-12-20,2024-01-10,Mtech,CS,Monster,,hired,Closed,hired,Damian Wayne,,hired,True,"Pierce, Wagner and Page",240000,180000
3322647998109844480,7,L1,Sales Associate,Male,31,1993-12-25,Canada,Canada,Renee Montoya,Sales,2024-04-02,2024-04-04,2024-03-27,2024-03-23,2024-03-02,2023-12-08,2023-12-30,HighSchool,CS,HRMarket,,hired,Closed,hired,Renee Montoya,,hired,True,Shaw Inc,320000,240000
3322665957289100288,8,L3,Backend Developer,Male,32,1992-05-07,USA,USA,Connor Hawke,Platform,2024-04-25,2024-05-04,2024-04-22,2024-04-18,2024-04-07,2023-12-12,2024-01-06,PhD,IS,Monster,,hired,Closed,hired,Connor Hawke,,hired,True,Shaw Inc,380000,310000
3322667730498225152,10,L1,Junior Backend Developer,Female,31,1993-04-04,USA,USA,Roy Harper,Platform,2024-03-13,2024-03-23,2024-03-11,2024-03-07,2024-02-24,2023-12-07,,PhD,CS,HRMarket,,hired,Open,hired,Roy Harper,,hired,True,"Wolfe, Sanchez and Parrish",350000,320000
3322677266441306112,8,L2,Tax Consultant,Male,30,1994-07-09,UK,UK,Victor Fries,Finance & Admin,2024-04-25,2024-04-27,2024-04-22,2024-04-16,2024-03-31,2024-03-30,2024-04-23,Mtech,IS,LinkedIn,,hired,Closed,hired,Victor Fries,,hired,True,Payne PLC,350000,250000
3322698881745027072,7,L7,Chief Marketing Officer,Male,28,1997-01-04,USA,USA,Harleen Quinnzel,Marketing,2024-01-12,2024-01-20,2024-01-10,2024-01-05,2023-12-16,2023-12-15,2024-01-11,BE,AI,LinkedIn,,hired,Closed,hired,Harleen Quinnzel,,hired,True,Velez-Hays,490000,390000
3322699251783303168,4,L1,Accounts Associate,Non-Binary,27,1997-01-10,Canada,Canada,Victor Fries,Finance & Admin,2024-01-12,2024-01-25,2024-01-09,2024-01-04,2023-12-14,2023-12-12,2024-01-06,Btech,EC,HRMarket,,hired,Closed,hired,Victor Fries,,hired,True,Simpson-Stein,240000,170000
3323555228036366336,1,L3,Technical Consultant,Male,24,2000-10-11,Canada,Canada,Jason Blood,Customer Service,2024-03-14,2024-03-21,2024-03-04,2024-02-27,2024-02-09,2023-12-09,2023-12-24,Btech,CS,HRMarket,,hired,Closed,hired,Jason Blood,,hired,True,Davis-Watkins,220000,150000
3323580901337596416,5,L3,Backend Developer,Male,27,1997-08-23,UK,UK,Duke Thomas,Platform,2024-03-14,2024-03-21,2024-03-07,2024-03-02,2024-02-13,2023-12-12,2024-01-06,PhD,CS,LinkedIn,,hired,Closed,hired,Duke Thomas,,hired,True,Hughes Group,310000,230000
3323586077108732416,2,L3,Technical Consultant,Male,25,1999-05-16,USA,USA,Zatanna Zatara,Customer Service,2024-03-14,2024-03-23,2024-03-07,2024-03-01,2024-02-12,2023-12-09,2023-12-24,Btech,IS,Monster,,hired,Closed,hired,Zatanna Zatara,,hired,True,"Garza, Wilson and Parker",220000,190000
3323590222515536384,2,L1,Junior UX Designer,Male,25,1999-02-01,Canada,Canada,Jason Todd,UI/UX,2024-03-14,2024-03-23,2024-03-08,2024-03-04,2024-02-13,2023-12-11,,Mtech,IS,HRMarket,,hired,Open,hired,Jason Todd,,hired,True,"Murray, Baker and Wright",180000,110000
3323594568393294336,3,L3,Network Engineer,Male,25,1999-12-08,USA,USA,Guy Gardner,IT,2024-03-14,2024-03-18,2024-03-06,2024-03-02,2024-02-16,2023-12-30,2024-01-14,Btech,IS,Referral,,hired,Closed,hired,Guy Gardner,,hired,True,Berg PLC,270000,200000
3323597687294525952,8,L2,System Administrator,Female,29,1995-03-22,Canada,Canada,Guy Gardner,IT,2024-03-14,2024-03-18,2024-03-09,2024-03-04,2024-02-17,2023-12-04,2023-12-27,BE,IS,HRMarket,,hired,Closed,hired,Guy Gardner,,hired,True,Guzman Inc,360000,310000
3323601369985712640,6,L3,Network Engineer,Female,27,1997-08-05,USA,USA,Jon Stewart,IT,2024-03-14,2024-03-22,2024-03-04,2024-02-26,2024-02-09,2023-12-30,2024-01-14,Mtech,CS,LinkedIn,,hired,Closed,hired,Jon Stewart,,hired,True,Nelson PLC,360000,280000
3323605401466831360,4,L2,Data Scientist,Female,28,1996-10-25,USA,USA,Stephanie Brown,Machine Learning,2024-03-14,2024-03-26,2024-03-05,2024-02-28,2024-02-10,2023-12-07,2024-01-05,PhD,EC,HRMarket,,hired,Closed,hired,Stephanie Brown,,hired,True,Conway-Hernandez,260000,180000
3324077462203138560,8,L1,Sales Associate,Female,29,1995-12-25,USA,USA,Jim Gordon,Sales,2024-01-12,2024-01-20,2024-01-10,2024-01-05,2023-12-16,2023-12-08,2023-12-30,Mtech,IS,HRMarket,,hired,Closed,hired,Jim Gordon,,hired,True,"Johnson, Hunt and Wallace",330000,250000
3324118388208304640,1,L2,Sales Representative,Female,24,2000-01-11,Canada,Canada,Jim Gordon,Sales,2024-01-12,2024-01-23,2024-01-02,2023-12-29,2023-12-21,2023-12-20,2024-01-03,Btech,EC,HRMarket,,hired,Closed,hired,Jim Gordon,,hired,True,"Silva, Turner and Carpenter",200000,100000
3324150943070552576,6,L2,Platform Engineer,Male,30,1994-11-07,Canada,Canada,Damian Wayne,Platform,2024-01-12,2024-01-22,2024-01-09,2024-01-04,2023-12-21,2023-12-20,2024-01-10,Mtech,CS,HRMarket,,hired,Closed,hired,Damian Wayne,,hired,True,"Wolfe, Sanchez and Parrish",290000,260000
3324151269991384064,7,L3,Backend Developer,Female,29,1995-03-30,UK,UK,Duke Thomas,Platform,2024-01-12,2024-01-20,2024-01-05,2024-01-01,2023-12-13,2023-12-12,2024-01-06,PhD,AI,HRMarket,,hired,Closed,hired,Duke Thomas,,hired,True,Guzman Inc,370000,290000
3324223673946080256,4,L2,Frontend Developer,Male,26,1998-03-26,USA,USA,Richard Grayson,UI/UX,2024-03-01,2024-03-09,2024-02-26,2024-02-21,2024-02-13,2023-12-02,2023-12-26,PhD,EC,HRMarket,,hired,Closed,hired,Richard Grayson,,hired,True,Davenport Ltd,240000,180000
3331339736521376768,2,L3,Sales Executive,Male,26,1998-08-02,USA,USA,Arnold Flass,Sales,2024-01-01,2024-01-12,2023-12-28,2023-12-24,2023-12-03,2023-12-02,2023-12-29,BE,IS,HRMarket,,hired,Closed,hired,Arnold Flass,,hired,True,Miller-Bennett,220000,190000
3333522038269674496,4,L1,Accounts Associate,Male,28,1996-08-25,UK,UK,Oswald Cobblepot,Finance & Admin,2024-04-24,2024-05-07,2024-04-17,2024-04-13,2024-03-31,2023-12-12,2024-01-06,Btech,CS,HRMarket,,hired,Closed,hired,Oswald Cobblepot,,hired,True,"Fernandez, Harrison and Beard",190000,160000
3336664804545789952,5,L3,Backend Developer,Male,28,1996-07-21,USA,USA,Roy Harper,Platform,2024-04-01,2024-04-03,2024-03-23,2024-03-19,2024-03-10,2023-12-12,2024-01-06,BE,EE,Others,,hired,Closed,hired,Roy Harper,,hired,True,White-Frank,310000,250000
3344431513486754816,5,L3,Backend Developer,Female,26,1998-12-26,USA,USA,Damian Wayne,Platform,2024-01-19,2024-01-25,2024-01-13,2024-01-07,2023-12-21,2023-12-12,2024-01-06,Mtech,EC,HRMarket,,hired,Closed,hired,Damian Wayne,,hired,True,"Baker, Randolph and Murray",330000,240000
3361780509112796160,0,L1,IT Support,Female,23,2001-10-05,USA,USA,Guy Gardner,IT,2024-05-06,2024-05-08,2024-05-03,2024-04-26,2024-04-08,2023-12-20,2024-01-10,PhD,CS,LinkedIn,,hired,Closed,hired,Guy Gardner,,hired,True,"Garza, Wilson and Parker",140000,40000
3362663495148503040,1,L1,IT Support,Male,24,2000-10-05,USA,USA,Guy Gardner,IT,2024-01-19,2024-02-01,2024-01-09,2024-01-05,2023-12-26,2023-12-20,2024-01-10,BE,IS,HRMarket,,hired,Closed,hired,Guy Gardner,,hired,True,"Alexander, Levy and Chambers",170000,70000
3362694911374656000,9,L3,UX Designer,Male,32,1993-01-03,USA,USA,Richard Grayson,UI/UX,2024-01-19,2024-01-26,2024-01-12,2024-01-07,2023-12-30,2023-12-19,,PhD,IS,HRMarket,,hired,Open,hired,Richard Grayson,,hired,True,"Ware, Davis and Fernandez",420000,360000
3369138330338853376,8,L3,Backend Developer,Female,32,1992-04-06,USA,USA,Roy Harper,Platform,2024-02-12,2024-02-18,2024-02-07,2024-02-02,2024-01-19,2023-12-12,2024-01-06,BE,AI,LinkedIn,,hired,Closed,hired,Roy Harper,,hired,True,Watts-Harris,400000,300000
3369159004709192192,7,L1,IT Support,Male,30,1994-09-22,China,China,Guy Gardner,IT,2024-02-12,2024-02-13,2024-02-09,2024-02-04,2024-01-23,2023-12-20,2024-01-10,Btech,EC,LinkedIn,,hired,Closed,hired,Guy Gardner,,hired,True,"Salinas, Payne and Fuller",310000,250000
3377760583368573440,4,L1,Sales Associate,Female,25,1999-07-15,Canada,Canada,Arnold Flass,Sales,2024-05-07,2024-05-11,2024-05-01,2024-04-26,2024-04-06,2023-12-08,2023-12-30,BE,CS,Referral,,hired,Closed,hired,Arnold Flass,,hired,True,"Parker, Allen and Stone",230000,120000
